"","HHID","Year","Householdsize","FCS","Numberofdiffererentcropsproducedbythehousehold","Sexofhouseholdhead","Ageofthehouseholdhead","Educationlevelofthehouseholdhead","Totalcroppedarea","DDS","Numberofhouseholdproductionbynutritionalgroup","Foodexpenditure","Nonfoodexpenditure","Incomes","Region","Numberofdifferentnonagriculturalincomesources","Proportionoffoodconsumedinpreviousoneweekfromhouseholdsownproduction","Simpsonsindex","CaloriesbyHH","HeadAgricultureDecision","Agriculturalincomes","NonAgriculturalincomes","Propertyincomes","Investments","Transfers"
"115","1043000805","2009",7,106,5,"Male",28,16,0.6,11,3,769.6,127.55,500,"Central",0,0.1875,0.7755102041,133073.68,"1",0,0,0,0,421.255188810788
"116","1043000805","2010",8,110,6,"Male",29,16,1.9,10,3,833.200637948858,99.7953542292757,NA,"Central",0,0.1578947368,0.1826750872,208952.5,"1",0,0,0,0,0
"117","1043000805","2012",8,59.5,7,"Male",30,16,1,9,4,240.007684975135,61.701483052413,288.186567550192,"Central",1,0.5,0.78125,58803,"1",140.398584191119,0,147.787983359073,0,0
"118","1043000806","2009",16,41.5,4,"Male",63,21,16.23,8,3,459.9,80,600,"Central",0,0.3571428571,0.7160025406,77593,"1",0,0,505.506226572946,0,0
"119","1043000806","2010",18,91,7,"Male",64,41,16.86,9,4,583.859691691752,106.914566920178,4886.56019020514,"Central",2,0.4285714286,0.8036398751,241740,"1",842.510377621576,0,1516.51867971884,0,2527.53113286473
"120","1043000806","2012",20,56.5,6,"Male",65,51,7,8,4,76.369440400801,41.8239992906177,2069.03176702702,"Central",0,0.4615384615,0.7708333333,7497.5,"1",2069.03176702702,0,0,0,0
"121","1043000807","2009",4,39.5,4,"Male",31,16,0.84,9,4,228,22.9,400,"Central",0,0.25,0.7222222222,67605.26,"1",337.004151048631,0,0,0,0
"122","1043000807","2010",5,45.5,7,"Male",31,17,0.68,8,6,160.750980050197,22.2422739692096,539.206641677809,"Central",0,0.1666666667,0.7777777778,36195,"1",539.206641677809,0,0,0,0
"123","1043000807","2012",5,81.5,6,"Female",24,32,1.5,11,4,122.165241744194,22.0943035121814,114.535687103282,"Central",0,0.3529411765,0.375,45445,"1",77.5886912635134,0,0,0,36.9469958397683
"124","1043000808","2009",8,81,10,"Male",51,41,1.5,10,6,661.95,167.9,4717,"Central",0,0.3333333333,0.8125,100797.48,"1",1648.79280900543,0,2325.32864223555,0,0
"125","1043000808","2010",8,83,10,"Male",52,41,2,11,6,670.722511624537,173.271526772031,2696.03320838904,"Central",1,0.3684210526,0.7222222222,76455,"1",2696.03320838904,0,0,0,0
"126","1043000808","2012",10,72,6,"Male",54,41,1.5,9,5,772.783364984593,133.009185023166,3362.17662141891,"Central",1,0.3333333333,0.4444444444,144015,"1",2586.28970878378,0,147.787983359073,0,628.098929276061
